Voltage (V),Current (A)
5.5455,4.87829e-06
5.5556,4.90687e-06
5.5656,4.94223e-06
5.5756,4.96682e-06
5.5856,4.98827e-06
5.5956,5.02118e-06
5.6056,5.05373e-06
5.6156,5.07491e-06
5.6256,5.10042e-06
5.6356,5.13695e-06
5.6456,5.16619e-06
5.6557,5.18687e-06
5.6657,5.21652e-06
5.6757,5.25334e-06
5.6857,5.27307e-06
5.6957,5.30401e-06
5.7057,5.34059e-06
5.7157,5.36568e-06
5.7257,5.38971e-06
5.7357,5.42473e-06
5.7457,5.45857e-06
5.7558,5.48135e-06
5.7658,5.50907e-06
5.7758,5.54734e-06
5.7858,5.57769e-06
5.7958,5.60006e-06
5.8058,5.63218e-06
5.8158,5.67015e-06
5.8258,5.69672e-06
5.8358,5.72199e-06
5.8458,5.75875e-06
5.8559,5.79391e-06
5.8659,5.81753e-06
5.8759,5.84685e-06
5.8859,5.88652e-06
5.8959,5.9182e-06
5.9059,5.94197e-06
5.9159,5.9756e-06
5.9259,6.01481e-06
5.9359,6.04273e-06
5.9459,6.06934e-06
5.956,6.10724e-06
5.966,6.14395e-06
5.976,6.16936e-06
5.986,6.19967e-06
5.996,6.24085e-06
6.006,6.27416e-06
6.016,6.29932e-06
6.026,6.33415e-06
6.036,6.37499e-06
6.046,6.40471e-06
6.0561,6.43284e-06
6.0661,6.47198e-06
6.0761,6.51002e-06
6.0861,6.53679e-06
6.0961,6.56859e-06
6.1061,6.61232e-06
6.1161,6.64002e-06
6.1261,6.67161e-06
6.1361,6.71447e-06
6.1461,6.75053e-06
6.1562,6.7777e-06
6.1662,6.81307e-06
6.1762,6.85642e-06
6.1862,6.88957e-06
6.1962,6.91808e-06
6.2062,6.95781e-06
6.2162,6.99902e-06
6.2262,7.02906e-06
6.2362,7.06142e-06
6.2462,7.10539e-06
6.2563,7.14383e-06
6.2663,7.17202e-06
6.2763,7.20899e-06
6.2863,7.25375e-06
6.2963,7.28835e-06
6.3063,7.31853e-06
6.3163,7.36023e-06
6.3263,7.40266e-06
6.3363,7.43383e-06
6.3463,7.46806e-06
6.3564,7.5142e-06
6.3664,7.5535e-06
6.3764,7.58336e-06
6.3864,7.62221e-06
6.3964,7.66856e-06
6.4064,7.7043e-06
6.4164,7.73639e-06
6.4264,7.78001e-06
6.4364,7.8236e-06
6.4464,7.85648e-06
6.4565,7.89278e-06
6.4665,7.94013e-06
6.4765,7.98106e-06
6.4865,8.01244e-06
6.4965,8.05273e-06
6.5065,8.10084e-06
6.5165,8.13842e-06
6.5265,8.17278e-06
6.5365,8.22124e-06
6.5465,8.26071e-06
6.5566,8.29432e-06
6.5666,8.33533e-06
6.5766,8.3847e-06
6.5866,8.42546e-06
6.5966,8.4591e-06
6.6066,8.50301e-06
6.6166,8.55154e-06
6.6266,8.58874e-06
6.6366,8.6258e-06
6.6466,8.67401e-06
6.6567,8.7203e-06
6.6667,8.75506e-06
6.6767,8.79607e-06
6.6867,8.84724e-06
6.6967,8.88975e-06
6.7067,8.9251e-06
6.7167,8.97065e-06
6.7267,9.02118e-06
6.7367,9.06027e-06
6.7467,9.09881e-06
6.7568,9.14951e-06
6.7668,9.19688e-06
